X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,Y
400,190,610,1130,0,0,0,0,0,30,0.55,28,40.96
400,190,600,1120,0,0,0,0,0.5,30,0.55,28,41.4
400,190,600,1110,0,0,0,0,1,30,0.55,28,41.96
400,190,590,1110,0,0,0,0,1.5,30,0.55,28,42.41
450,158,610,1140,0,0,0,4.5,0,30,0.55,28,74.53
450,158,610,1130,0,0,0,4.5,0.5,30,0.55,28,75.08
450,158,600,1120,0,0,0,4.5,1,30,0.55,28,75.53
450,158,600,1110,0,0,0,4.5,1.5,30,0.55,28,76.54
450,140,630,1170,50,0,0,4.5,0,30,0.55,28,96.35
450,140,625,1160,50,0,0,4.5,0.5,30,0.55,28,96.79
450,140,620,1150,50,0,0,4.5,1,30,0.55,28,97.35
450,140,615,1140,50,0,0,4.5,1.5,30,0.55,28,98.81
460,161,621,1284,0,0,0,0,0,35,0.55,28,53.86
460,161,621,1284,0,0,0,0,0.5,35,0.55,28,54.69
460,161,621,1284,0,0,0,0,1.5,35,0.55,28,53.05
460,161,621,1284,0,0,0,0,2.5,35,0.55,28,53.1
360,180,738,1108,0,0,0,0.5,0,30,0.5,28,50.19
360,180,738,1108,0,0,0,0.5,0.5,30,0.5,28,39.92
360,180,738,1108,0,0,0,0.5,1,30,0.5,28,41.59
360,180,738,1108,0,0,0,0.5,2,30,0.5,28,41.42
680,180,582,872,102,0,0,1.5,0,30,0.5,28,91.94
680,180,582,872,102,0,0,1.5,0.5,30,0.5,28,92.58
680,180,582,872,102,0,0,1.5,1,30,0.5,28,96.91
680,180,582,872,102,0,0,1.5,2,30,0.5,28,98.47
